2024-02-15 22:57:15 status installed libc-bin:amd64 2.31-13+deb11u8
2024-02-15 22:57:15 trigproc ca-certificates:all 20210119 <none>
2024-02-15 22:57:15 status half-configured ca-certificates:all 20210119
2024-02-15 22:57:16 status installed ca-certificates:all 20210119
2024-02-15 22:57:31 startup packages remove
2024-02-15 22:57:31 status installed ca-certificates:all 20210119
2024-02-15 22:57:31 remove ca-certificates:all 20210119 <none>
2024-02-15 22:57:31 status half-configured ca-certificates:all 20210119
2024-02-15 22:57:31 status half-installed ca-certificates:all 20210119
2024-02-15 22:57:32 status config-files ca-certificates:all 20210119
2024-02-15 22:57:32 status installed curl:amd64 7.74.0-1.3+deb11u11
2024-02-15 22:57:32 remove curl:amd64 7.74.0-1.3+deb11u11 <none>
2024-02-15 22:57:32 status half-configured curl:amd64 7.74.0-1.3+deb11u11
2024-02-15 22:57:32 status half-installed curl:amd64 7.74.0-1.3+deb11u11
2024-02-15 22:57:32 status config-files curl:amd64 7.74.0-1.3+deb11u11
2024-02-15 22:57:32 status not-installed curl:amd64 <none>
2024-02-15 22:57:32 status installed gnupg:all 2.2.27-2+deb11u2
2024-02-15 22:57:32 remove gnupg:all 2.2.27-2+deb11u2 <none>
2024-02-15 22:57:32 status half-configured gnupg:all 2.2.27-2+deb11u2
2024-02-15 22:57:32 status half-installed gnupg:all 2.2.27-2+deb11u2
2024-02-15 22:57:32 status config-files gnupg:all 2.2.27-2+deb11u2
2024-02-15 22:57:32 status not-installed gnupg:all <none>
2024-02-15 22:57:32 status installed gpg-wks-client:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 remove gpg-wks-client:amd64 2.2.27-2+deb11u2 <none>
2024-02-15 22:57:32 status half-configured gpg-wks-client:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 status half-installed gpg-wks-client:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 status config-files gpg-wks-client:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 status not-installed gpg-wks-client:amd64 <none>
2024-02-15 22:57:32 status installed dirmngr:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 remove dirmngr:amd64 2.2.27-2+deb11u2 <none>
2024-02-15 22:57:32 status half-configured dirmngr:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 status half-installed dirmngr:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 status config-files dirmngr:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 status installed gnupg-l10n:all 2.2.27-2+deb11u2
2024-02-15 22:57:32 remove gnupg-l10n:all 2.2.27-2+deb11u2 <none>
2024-02-15 22:57:32 status half-configured gnupg-l10n:all 2.2.27-2+deb11u2
2024-02-15 22:57:32 status half-installed gnupg-l10n:all 2.2.27-2+deb11u2
2024-02-15 22:57:32 status config-files gnupg-l10n:all 2.2.27-2+deb11u2
2024-02-15 22:57:32 status not-installed gnupg-l10n:all <none>
2024-02-15 22:57:32 status installed gnupg-utils:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 remove gnupg-utils:amd64 2.2.27-2+deb11u2 <none>
2024-02-15 22:57:32 status half-configured gnupg-utils:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 status half-installed gnupg-utils:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 status config-files gnupg-utils:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 status not-installed gnupg-utils:amd64 <none>
2024-02-15 22:57:32 status installed gpg-wks-server:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 remove gpg-wks-server:amd64 2.2.27-2+deb11u2 <none>
2024-02-15 22:57:32 status half-configured gpg-wks-server:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 status half-installed gpg-wks-server:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 status config-files gpg-wks-server:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 status not-installed gpg-wks-server:amd64 <none>
2024-02-15 22:57:32 status installed gpg:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 remove gpg:amd64 2.2.27-2+deb11u2 <none>
2024-02-15 22:57:32 status half-configured gpg:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 status half-installed gpg:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 status config-files gpg:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 status not-installed gpg:amd64 <none>
2024-02-15 22:57:32 status installed gpg-agent:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 remove gpg-agent:amd64 2.2.27-2+deb11u2 <none>
2024-02-15 22:57:32 status half-configured gpg-agent:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 status half-installed gpg-agent:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 status config-files gpg-agent:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 status installed gpgsm:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 remove gpgsm:amd64 2.2.27-2+deb11u2 <none>
2024-02-15 22:57:32 status half-configured gpgsm:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 status half-installed gpgsm:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 status config-files gpgsm:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 status not-installed gpgsm:amd64 <none>
2024-02-15 22:57:32 status installed gpgconf:amd64 2.2.27-2+deb11u2
2024-02-15 22:57:32 remove gpgconf:amd64 2.2.27-2+deb11u2 <none>
2024-02-15 22:57:32 status half-configured gpgconf:amd64 2.2.27-2+deb11u2
